simu_time,a1_x,positon_x_t,positon_x_t+1,distance_in_x
906149,9.810007643,0.191295967,0.193795979,0.002500012
906158,9.809992742,0.193795979,0.196295962,0.002499983
906167,9.810000192,0.196295962,0.198795974,0.002500012
906177,9.810000192,0.198795974,0.201295972,0.002499998
906186,9.810000192,0.201295972,0.203795969,0.002499997
906198,9.810000192,0.203795969,0.206295967,0.002499998
906208,9.810000192,0.206295967,0.208795965,0.002499998
906217,9.810000192,0.208795965,0.211295962,0.002499997
906226,9.810000192,0.211295962,0.213795975,0.002500013
906236,9.810000192,0.213795975,0.216295972,0.002499997
906245,9.809992742,0.216295972,0.21879597,0.002499998
906253,9.810014162,0.21879597,0.221295968,0.002499998
906263,9.809986222,0.221295968,0.223795965,0.002499997
906273,9.810007643,0.223795965,0.226295978,0.002500013
906281,9.810000192,0.226295978,0.228795961,0.002499983
906291,9.810000192,0.228795961,0.231295973,0.002500012
906300,9.810000192,0.231295973,0.233795971,0.002499998
906309,9.810000192,0.233795971,0.236295953,0.002499982
906317,9.810000192,0.236295953,0.238795981,0.002500028
906326,9.810000192,0.238795981,0.241295964,0.002499983
906335,9.810000192,0.241295964,0.243795961,0.002499997
906343,9.810000192,0.243795961,0.246295974,0.002500013
906353,9.810000192,0.246295974,0.248795971,0.002499997
906362,9.810000192,0.248795971,0.251295984,0.002500013
906371,9.810000192,0.251295984,0.253795952,0.002499968
906379,9.810000192,0.253795952,0.256295979,0.002500027
906388,9.810000192,0.256295979,0.258795947,0.002499968
906398,9.810000192,0.258795947,0.261295974,0.002500027
906409,9.810000192,0.261295974,0.263795972,0.002499998
906418,9.810000192,0.263795972,0.266295969,0.002499997
906427,9.810000192,0.266295969,0.268795967,0.002499998
906435,9.810000192,0.268795967,0.271295935,0.002499968
906446,9.810007643,0.271295935,0.273795992,0.002500057
906455,9.809986222,0.273795992,0.27629599,0.002499998
906465,9.810000192,0.27629599,0.278795958,0.002499968
906474,9.810014162,0.278795958,0.281295955,0.002499997
906483,9.809993673,0.281295955,0.283795953,0.002499998
906493,9.810000192,0.283795953,0.28629598,0.002500027
906502,9.810000192,0.28629598,0.288795978,0.002499998
906515,9.810000192,0.288795978,0.291295975,0.002499997
906525,9.810000192,0.291295975,0.293795973,0.002499998
906539,9.810000192,0.293795973,0.296295971,0.002499998
906549,9.810000192,0.296295971,0.298795968,0.002499997
906559,9.810000192,0.298795968,0.301295996,0.002500028
906570,9.810000192,0.301295996,0.303795964,0.002499968
906580,9.810000192,0.303795964,0.306295961,0.002499997
906595,9.810000192,0.306295961,0.308795989,0.002500028
906604,9.810000192,0.308795989,0.311295986,0.002499997
906614,9.810000192,0.311295986,0.313795984,0.002499998
906637,9.809992742,0.313795984,0.316295952,0.002499968
906668,9.810006711,0.316295952,0.318795979,0.002500027
906681,9.810000192,0.318795979,0.321295977,0.002499998
906695,9.809992742,0.321295977,0.323795974,0.002499997
906708,9.810014162,0.323795974,0.326295972,0.002499998
906722,9.810000192,0.326295972,0.328795969,0.002499997
906739,9.809986222,0.328795969,0.331295967,0.002499998
906751,9.810015093,0.331295967,0.333795965,0.002499998
906765,9.809992742,0.333795965,0.336295962,0.002499997
906773,9.810000192,0.336295962,0.33879599,0.002500028
906783,9.810000192,0.33879599,0.341295987,0.002499997
906792,9.810000192,0.341295987,0.343795925,0.002499938
906801,9.810000192,0.343795925,0.346295983,0.002500058
906810,9.809992742,0.346295983,0.34879598,0.002499997
906819,9.810015093,0.34879598,0.351295978,0.002499998
906828,9.809992742,0.351295978,0.353795975,0.002499997
906837,9.810000192,0.353795975,0.356295943,0.002499968
906846,9.809992742,0.356295943,0.358795971,0.002500028
906855,9.810006711,0.358795971,0.361295968,0.002499997
906864,9.810007643,0.361295968,0.363795966,0.002499998
906872,9.809986222,0.363795966,0.366295993,0.002500027
906881,9.810014162,0.366295993,0.368795961,0.002499968
906890,9.809992742,0.368795961,0.371295959,0.002499998
906899,9.810000192,0.371295959,0.373795986,0.002500027
906907,9.810007643,0.373795986,0.376295984,0.002499998
906916,9.809987154,0.376295984,0.378795981,0.002499997
906925,9.810000192,0.378795981,0.381295979,0.002499998
906934,9.810000192,0.381295979,0.383795977,0.002499998
906943,9.810014162,0.383795977,0.386295974,0.002499997
906954,9.809992742,0.386295974,0.388795972,0.002499998
906963,9.809992742,0.388795972,0.391295969,0.002499997
