simu_time  w_x   w_y   w_z   
395389 0 0 0
395449 -0 0 -0
395507 -31.415931710363 23.561946994633 31.415931710363
395561 0.043197894332001 -2.2046655506279e-06 -9.0762909067183e-07
395683 0.086392420836831 2.3841859331242e-06 -0
395740 0.12959034023227 -2.2143386400957e-06 -8.8376841783306e-07
395795 0.17278644793357 0 -0
395847 0.21598289062961 0 -0
395902 0.25917827491682 2.3841852225816e-06 -0
395956 0.23256116481823 1.3309734966788e-07 -7.8545660310656e-07
396006 0.11099629251747 1.2877276616836e-07 -7.7295101209577e-07
396059 0.12487368474932 1.2399067258829e-07 -7.5885406074209e-07
396111 0.13874636449006 1.1878083238327e-07 -7.4315632804067e-07
396162 0.15262226228155 1.1317563910166e-07 -7.2584830534844e-07
396214 0.16649547720063 1.072117783179e-07 -7.0691695185448e-07
396271 0.18037136069027 1.009291609462e-07 -6.8635349471292e-07
396325 0.17701250937283 9.4943976692781e-08 -6.6611873456256e-07
396381 0.12016778740757 9.09831282109e-08 -6.5235225655649e-07
396440 0.12817837414765 -2.2973386275536e-06 -6.3764286709739e-07
396494 0.13619047136534 0 -0
396551 0.14420003917514 0 -0
396607 0.15221159520063 2.3841880647545e-06 -0
396663 0.16022262526494 6.8960916027079e-08 -5.6927550950335e-07
396718 0.16409831870038 6.4368127818738e-08 -5.5026173026021e-07
396775 0.1209517700766 6.108257155158e-08 -5.3622121530175e-07
396831 0.12645070393153 -2.326449164874e-06 -5.2152408612314e-07
396889 0.1319475799001 0 -0
396946 0.13744559035038 2.3841823804154e-06 -0
397009 0.1429430920386 -2.3367061432636e-06 -4.7345283992516e-07
397072 0.14844054542046 0 -0
397132 0.15393780323892 0 -0
397192 0.1215138513876 2.3841880647545e-06 -0
397260 0.12304721493225 -2.3487726759413e-06 -4.0938106295631e-07
397321 0.12714840490368 0 -0
397375 0.13124896995871 2.3841823804154e-06 -0
397428 0.13535135295222 2.780583750476e-08 -3.6306430736251e-07
397483 0.13945316225294 -2.3588564815239e-06 -3.4662542364058e-07
397562 0.14355433126962 0 -0
397626 0.12258319698758 0 -0
397683 0.11887066756809 0 -0
397738 0.12208340225127 2.3841880647545e-06 -0
397796 0.12529644025821 -2.3686356905223e-06 -2.7187897438081e-07
397852 0.12850919886811 2.3841880647545e-06 -0
397909 0.1317214877054 -2.371961376205e-06 -2.4103608421013e-07
397962 0.13493473471437 0 -0
398022 0.1213831680793 2.3841880647545e-06 -0
398077 0.11430156141966 -2.3760317369123e-06 -1.9704349403135e-07
398136 0.11689858483537 0 -0
398191 0.11949638886637 -1.1920883480517e-06 -0
398246 0.12209428010932 1.1895908589863e-06 7.721253228461e-08
398303 0.12469161086176 0 -0
398359 0.12728967735975 0 -0
398412 0.1182320537694 0 -0
398465 0.10734121345951 0 -0
398519 0.10734120376165 0 -0
398575 0.10734100818373 2.3841880647545e-06 -0
398629 0.10734123170136 -3.5755468268076e-06 -5.9209973436425e-08
398683 0.10734136208664 1.1918680795718e-06 2.3208521699978e-08
398738 0.10734051497025 2.3841766961033e-06 1.8626378217869e-08
398793 0.10734134346017 -2.383934400756e-06 -3.0140096962834e-08
398854 0.092391282886894 3.8335608255931e-11 7.8825909922632e-14
398908 0.0900890606001 -3.6152726103896e-12 -4.074539594615e-09
398966 0.090089097853039 -2.5630928093045e-11 -9.8952496196455e-09
399044 0.090088882479758 2.3842204653689e-06 -1.3969988498769e-08
399128 0.0900890606001 4.8942230314104e-10 3.3141034880759e-08
399279 0.090089041973631 -2.3834415678444e-06 6.6247864867733e-09
399341 0.090089069913335 1.2801102951059e-09 -1.4663839693776e-11
399397 0.090089405189781 2.3857197121364e-06 -2.0996555697183e-11
399450 0.087478916799982 2.9807154059867e-09 9.4375675860511e-08
399507 0.076470773952149 -2.3813500122528e-06 4.7612186303066e-08
399559 0.07647070410289 2.937448921047e-09 -5.7927051776384e-11
399611 0.076470773952149 2.3874102370256e-06 -6.9704300179649e-11
399667 0.076470475928641 -2.3780393062725e-06 1.8663659098152e-07
399722 0.076470930851127 2.3841766961033e-06 -3.7252756435739e-08
399775 0.076470541121284 5.6077507271337e-09 9.3113010616838e-08
399827 0.076470834488174 8.4459453375672e-09 2.5115427042519e-07
399878 0.076470317603653 -2.3818735406398e-06 1.1144201087272e-07
399930 0.076470913650669 2.3841880647545e-06 -0
399986 0.071003296571315 5.7974381741423e-09 1.6616367511486e-07
400042 0.065448751691283 -2.3778342434434e-06 1.7394671194447e-07
400093 0.065448309312639 -1.1920940323773e-06 -0
400145 0.065448900611422 1.1883166594895e-06 -9.4752306482653e-08
400205 0.065447731978135 0 -0
400262 0.065448593276145 2.3841766961033e-06 -0
400318 0.065448472383818 -2.3746812327795e-06 2.1282905317287e-07
400372 0.065448146243014 0 -0
400429 0.065448444265101 0 -0
400489 0.065448323371353 2.3841994335142e-06 -0
400544 0.065448439608506 1.2507493956735e-08 2.4389142482866e-07
400602 0.058311925519696 1.3228534023019e-08 2.5080760207856e-07
400656 0.056332642456048 1.3944347995826e-08 2.5748235021592e-07
400713 0.056332344433961 1.4678904273945e-08 2.6415741190227e-07
400775 0.056332131945173 1.543250809204e-08 2.7083288929539e-07
400833 0.056333098802368 -3.5600604683388e-06 2.7750122923224e-07
400888 0.056332294927556 3.5678012947436e-06 -1.4208624977358e-07
400944 0.056332358403746 -2.3663711315022e-06 2.908360759944e-07
400997 0.056333252470007 0 -0
401050 0.056332141258452 2.3841994335142e-06 -0
401104 0.056332493445004 -2.3638293877238e-06 3.1082115106902e-07
401161 0.05633274196495 0 -0
401216 0.056076790494347 2.3841766961033e-06 -0
401286 0.048688496995639 2.2927847643256e-08 3.2985133140368e-07
401342 0.048688374591408 2.3738089655259e-08 3.3560177046072e-07
401399 0.04868850630883 -2.359615032726e-06 3.4134396104233e-07
401457 0.048688379248047 0 -0
401520 0.048688808987512 0 -0
401582 0.048688217599933 0 -0
401639 0.048688383904687 0 -0
401699 0.048689116322789 0 -0
401754 0.048688076566479 2.3841994335142e-06 -0
401808 0.04868850630883 -2.3534557875709e-06 3.8150258193327e-07
401864 0.048688217599933 0 -0
401919 0.048688672616337 0 -0
401970 0.046881300373183 0 -0
402025 0.04216697446433 2.3841994335142e-06 -0
402084 0.042167759762011 3.5234827204861e-08 4.0837627149883e-07
402137 0.042166269651576 3.610125971167e-08 4.1332774071889e-07
402190 0.04216668109604 -2.3472212989778e-06 4.1828138708883e-07
402242 0.042167769075202 0 -0
402300 0.042167277145899 0 -0
402359 0.042166278964767 0 -0
402416 0.042167173031028 2.3841766961033e-06 -0
402472 0.042167281802538 -2.342681331244e-06 4.4300166558786e-07
402529 0.042166879665536 2.3841766961033e-06 -0
402584 0.042167277145899 -2.3407926978455e-06 4.5287613448888e-07
402638 0.04216746639652 2.3841766961033e-06 -0
402693 0.042165976286085 -3.5309283273029e-06 4.627381966978e-07
402749 0.040818416316388 1.1689564968841e-06 -2.3375755195648e-07
402804 0.039269201600319 2.3841766961033e-06 -0
402860 0.039270162839331 4.8140398460599e-08 4.7669231323763e-07
402917 0.039268889608447 4.9080410137175e-08 4.8127362801287e-07
402968 0.039269494965811 5.0030117934945e-08 4.8585764145887e-07
403023 0.039269864814402 5.0988838478619e-08 4.9044448472605e-07
403075 0.03926859158636 5.1955823511418e-08 4.9501998403066e-07
403129 0.039269864814402 5.2933036636997e-08 4.9960311325186e-07
403184 0.039268898921637 -2.3302589294741e-06 5.0417472382418e-07
403252 0.039270389032072 2.3841766961033e-06 -0
403308 0.039268975396254 5.5916196328589e-08 5.1332664970417e-07
403361 0.039269494965811 5.6928182608222e-08 5.1789230297094e-07
403420 0.039269268764544 5.7949923383961e-08 5.2246573819293e-07
403476 0.039268596242955 5.8979795877173e-08 5.2702721869776e-07
403536 0.039269792987898 6.001917382613e-08 5.3159176334706e-07
403591 0.039269864814402 6.1067802749125e-08 5.361593606249e-07
403649 0.039268298220868 6.212450392099e-08 5.4071452883944e-07
403705 0.039269864814402 6.3191200810852e-08 5.4527805642047e-07
403759 0.039268898921637 -2.3199109087622e-06 5.4982901654053e-07
403815 0.039270389032072 2.3841766961033e-06 -0
403870 0.039268975396254 -2.3177559178833e-06 5.5894041479317e-07
403925 0.039269499622406 2.3841766961033e-06 -0
403983 0.039269874127681 -2.315543133034e-06 5.680379007667e-07
404039 0.039269499622406 2.3841766961033e-06 -0
404099 0.039269192287129 7.090407858117e-08 5.7712107207297e-07
404153 0.039269268764544 7.2042482317654e-08 5.8166757398653e-07
404208 0.039269792987898 -2.3109883734489e-06 5.8620084989382e-07
404266 0.039269273421183 2.3841994335142e-06 -0
404319 0.039269494965811 7.5508235836882e-08 5.9527146174835e-07
404373 0.039268894265042 7.6681337418595e-08 5.9980335708349e-07
404434 0.039268970739614 7.7864276481404e-08 6.0433867103726e-07
404490 0.039268894265042 7.9054683210985e-08 6.0886011340753e-07
404544 0.039269268764544 8.0255266468592e-08 6.1339089517953e-07
404602 0.039269788331303 8.1463413896633e-08 6.1790763271123e-07
404658 0.039269192287129 8.2681137391932e-08 6.2242780413596e-07
404715 0.03926860089955 8.3907671583545e-08 9.2496757568351e-07
404779 0.039269945955644 6.2106646034059e-09 6.4211604164441e-07
404836 0.03926860089955 -2.3772861631543e-06 9.447943424405e-07
404896 0.039269196943724 2.2240556487618e-06 2.1910138944632e-08
404952 0.03926860089955 -7.2345480076423e-08 6.6721790254658e-07
405005 0.039270389032072 -2.4563777944466e-06 3.7401924544118e-07
405061 0.039268753844558 2.3024705663338e-06 3.0945958371401e-07
405120 0.03926860089955 -2.4560606093793e-06 3.8366454206814e-07
405179 0.039270989732841 -8.2874919420323e-08 1.1754889961974e-08
405248 0.03926860089955 2.3007398283405e-06 3.0994022354569e-07
405314 0.039269788331303 -7.1336797456556e-08 6.9615258450943e-07
405382 0.039268749187874 -7.1136645124044e-08 4.029593039584e-07
405436 0.03926860089955 -2.3699806748305e-06 6.9337977311483e-07
405490 0.039270989732841 2.2984953745087e-06 1.2582277184175e-08
405549 0.03926860089955 1.5767167376641e-08 7.0268358420565e-07
405606 0.039269196943724 1.6566098581049e-08 7.0733321602298e-07
405662 0.039270537354503 1.7374598198682e-08 7.1199486482477e-07
405718 0.039268596242955 1.8191529942845e-08 7.1662764798547e-07
405787 0.039269788331303 1.9018172208238e-08 7.2127251918463e-07
405849 0.039267408811202 -2.3643230709334e-06 1.0239375589386e-06
