simu_time positon_x positon_y positon_z orientation_x orientation_y orientation_z
395389 7.4505805969238e-08 -1.4901161193848e-08 0.0020000000949949 -0 0 -0
395449 7.4505805969238e-08 -1.4901161193848e-08 0.0020000000949949 -0 0 -0
395507 -2.0861625671387e-07 1.2665987014771e-07 0 -1.5707966089249 1.1780973672867 1.5707966089249
395561 4.9784779548645e-05 1.2617707056961e-07 0 -1.5707963705063 1.1802568435669 1.5707963705063
395683 0.00014978647232056 1.2521147141342e-07 0 -1.5707966089249 1.1845767498016 1.5707966089249
395740 0.00029979646205902 1.2376307267914e-07 0 -1.5707963705063 1.191055893898 1.5707963705063
395795 0.00049978494644165 1.2183188857762e-07 0 -1.5707963705063 1.1996953487396 1.5707963705063
395847 0.00074979662895203 1.19417904898e-07 0 -1.5707963705063 1.21049451828 1.5707963705063
395902 0.0010497868061066 1.1652110742943e-07 0 -1.5707967281342 1.2234535217285 1.5707967281342
395956 0.0014112442731857 1.1393844090435e-07 0 -1.5707967281342 1.2350815534592 1.5707967281342
396006 0.0018112510442734 1.1274634914571e-07 0 -1.5707967281342 1.2406314611435 1.5707967281342
396059 0.0022612512111664 1.1140524946995e-07 0 -1.5707967281342 1.246875166893 1.5707967281342
396111 0.0027612447738647 1.0991514187708e-07 0 -1.5707967281342 1.2538123130798 1.5707967281342
396162 0.0033112466335297 1.0827601926167e-07 0 -1.5707967281342 1.261443734169 1.5707967281342
396214 0.0039112567901611 1.0648788872913e-07 0 -1.5707967281342 1.2697684764862 1.5707967281342
396271 0.0045612454414368 1.0455074317406e-07 0 -1.5707967281342 1.2787868976593 1.5707967281342
396325 0.0052700489759445 1.0266295191741e-07 0 -1.5707963705063 1.2876369953156 1.5707963705063
396381 0.0060200393199921 1.0142913708933e-07 0 -1.5707967281342 1.2936458587646 1.5707967281342
396440 0.0068200379610062 1.0011307693958e-07 0 -1.5707963705063 1.3000544309616 1.5707963705063
396494 0.0076700448989868 9.8714757257312e-08 0 -1.5707963705063 1.30686378479 1.5707963705063
396551 0.0085700452327728 9.7234185147954e-08 0 -1.5707963705063 1.3140738010406 1.5707963705063
396607 0.0095200389623642 9.5671360611504e-08 0 -1.5707968473434 1.321684718132 1.5707968473434
